row_id,group,dataset_query,model,method,base_bias,counter_bias_n,counter_bias_pct,train_yes_pct,accept_defer,eval_pred_yes_pct,acc_pct,metric,metric_value,delta_vs_baseline,interpretation,source_result
IMDb full-test | IMDb q1 | pool-random,IMDb full-test,IMDb q1,Qwen3-0.6B,pool-random,yes,1231,49.24,50.76,1499/1001,50.49,94.37,macro-F1,94.37,0.0,随机基线,experiments/evals/imdb_qwen06b_T10_alpha010_train2500_lora/q1_pool_random_full/round_1/all_student_predictions.jsonl
IMDb full-test | IMDb q1 | ns-error-mass,IMDb full-test,IMDb q1,Qwen3-0.6B,ns-error-mass,yes,2316,92.64,7.36,819/1681,45.59,92.27,macro-F1,92.25,-2.12,反偏置标签为 no；没有超过随机基线,experiments/evals/imdb_qwen06b_T10_alpha010_train2500_lora/q1_ns_error_mass_full/round_1/all_student_predictions.jsonl
IMDb full-test | IMDb q2 | pool-random,IMDb full-test,IMDb q2,Qwen3-0.6B,pool-random,yes,1805,72.2,27.8,697/1803,26.87,88.69,macro-F1,85.72,0.0,随机基线,experiments/evals/imdb_qwen06b_T10_alpha010_train2500_lora/q2_pool_random_full/round_1/all_student_predictions.jsonl
IMDb full-test | IMDb q2 | ns-error-mass,IMDb full-test,IMDb q2,Qwen3-0.6B,ns-error-mass,yes,1975,79.0,21.0,577/1923,25.75,88.7,macro-F1,85.54,-0.18,反偏置标签为 no；没有超过随机基线,experiments/evals/imdb_qwen06b_T10_alpha010_train2500_lora/q2_ns_error_mass_full/round_1/all_student_predictions.jsonl
Base-correct/wrong control | Codebase q1 | base-correct-balanced,Base-correct/wrong control,Codebase q1,Qwen3-0.6B,base-correct-balanced,yes,250,50.0,50.0,,22.87,80.58,macro-F1,57.93,,来源变化不如标签比例关键,experiments/inputs/codebase/query_id_1/qwen06b_round0_correct_balanced500_seed1/seed1/eval_full_test_correct_balanced_lora/round_1/all_student_predictions.jsonl
Base-correct/wrong control | Codebase q2 | base-correct-random,Base-correct/wrong control,Codebase q2,Qwen3-0.6B,base-correct-random,yes,4,0.8,99.2,,98.71,64.7,macro-F1,42.49,,来源变化不如标签比例关键,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/eval_full_test_correct_lora/round_1/all_student_predictions.jsonl
Base-correct/wrong control | Codebase q2 | base-wrong-random,Base-correct/wrong control,Codebase q2,Qwen3-0.6B,base-wrong-random,yes,500,100.0,0.0,,0.0,36.56,macro-F1,26.77,,来源变化不如标签比例关键,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/eval_full_test_wrong_lora/round_1/all_student_predictions.jsonl
FEVER 0.6B budget | FEVER n=1500 | pool-random,FEVER 0.6B budget,FEVER n=1500,Qwen3-0.6B,pool-random,no,785,52.33,52.33,434/1066,50.22,92.24,macro-F1,92.24,0.0,随机基线,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=1500 | ns-error-mass,FEVER 0.6B budget,FEVER n=1500,Qwen3-0.6B,ns-error-mass,no,992,66.13,66.13,380/1120,50.61,93.11,macro-F1,93.11,0.87,更多反偏置 yes；小幅提升但与标签比例耦合,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=3000 | pool-random,FEVER 0.6B budget,FEVER n=3000,Qwen3-0.6B,pool-random,no,1568,52.27,52.27,848/2152,48.82,92.5,macro-F1,92.5,0.0,随机基线,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=3000 | ns-error-mass,FEVER 0.6B budget,FEVER n=3000,Qwen3-0.6B,ns-error-mass,no,2041,68.03,68.03,760/2240,50.27,93.51,macro-F1,93.51,1.01,更多反偏置 yes；小幅提升但与标签比例耦合,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
